SIMPLE                                            ,               Beeatriz-Castro,               CarlaCristinaSA,                 ClidenorFilho,                 Douglas-glith,              EduardoAlmeida10,               Emilly-Pinheiro,                     GuibasURL,               HenriqueSenaDev,                        JGCL24,                 Joao-Vitor-Rd,                 KeltonMartins,              Layssaoliveira26,                       Lipez-x,         Paulo-Sergio-Oliveira,                 Randson-Silva,                     TobiasTac,                     Victorbvc,                      abebuh21,                  alvesmaarcos,                     anaradlei,                 annabeatryz31,                 cauanrricardo,              davyanastaciodev,                     dsfacundo,               eduardaffreitas,                  fco-henrique,                gabrielrbsousa,                      harielfr,                higormcarnauba,                   jppiauilino,                   kawantorres,                kaylannesatiro,              lizandrapinheiro,                         mczm9,                   pamellaneco,                  rudriguu2099
+:4:incompleta                                    ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 031m 022/011ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,000% 00how 003m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
+:4:abb                                           ,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 003m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 044m 030/015ex 000%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%
=:1:recursão-padrões-e-conceitos==================,                           000,                           000,                           000,                           000,                           002,                           000,                           000,                           000,                           000,                           038,                           000,                           000,                           027,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           027,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           037,                           000,                           087
+:1:escada                                        ,                           ---,                           ---,                           ---,                           ---,100% 43how 019m 004/002ex 045%,                           ---,                           ---,                           ---,                           ---,100% 65how 003m 004/002ex 100%,                           ---,                           ---,100% 65how 006m 002/001ex 100%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 058m 004/002ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 014m 012/006ex 100%
+:1:binomiais                                     ,                           ---,                           ---,                           ---,                           ---,000% 00how 004m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,100% 65how 006m 004/002ex 100%,                           ---,                           ---,100% 60how 006m 002/001ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 006m 004/002ex 100%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 005m 002/001ex 100%
+:2:diagonal                                      ,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,100% 65how 006m 004/002ex 100%,                           ---,                           ---,100% 65how 028m 022/011ex 100%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 033m 008/004ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 017m 014/007ex 100%
+:2:sufixos                                       ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 061m 030/015ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 006m 004/002ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 010m 010/005ex 100%
+:2:padroes1                                      ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 025m 024/012ex 100%,                           ---,                           ---,100% 65how 039m 002/001ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 006m 004/002ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 010m 007/007ex 082%,                           ---,100% 65how 041m 024/012ex 100%
+:3:padroes2                                      ,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 014m 004/002ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 14how 012m 005/005ex 082%,                           ---,100% 65how 020m 010/005ex 100%
+:4:padroes3                                      ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 24how 070m 017/011ex 082%,                           ---,100% 65how 162m 014/007ex 100%
+:3:quadrado                                      ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 040m 020/010ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 020m 008/004ex 100%
+:2:fib1                                          ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 002m 002/001ex 082%
+:2:fib2                                          ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 22how 049m 036/018ex 012%
+:3:santo                                         ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 026m 026/016ex 000%,                           ---,060% 64how 061m 042/021ex 045%
+:4:bitcoin                                       ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 018m 019/012ex 082%,                           ---,100% 65how 013m 002/001ex 100%
=:1:pilha-e-fila==================================,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           000
*:2:balanceada                                    ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:2:caminhao                                      ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 45how 082m 020/010ex 082%
*:3:polonesa                                      ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
